time,r TA_C1.Vt,r TC_C1.Vt
0.0274775,-10.2108,-1.26369e-09
0.0275275,-10.3514,-1.29127e-09
0.0275776,-10.4884,-1.18118e-09
0.0276276,-10.6217,-1.2094e-09
0.0276777,-10.7511,-1.09991e-09
0.0277277,-10.8768,-1.1287e-09
0.0277778,-10.9985,-1.01973e-09
0.0278278,-11.1164,"-1,049E-06"
0.0278779,-11.2303,-9.40492e-10
0.0279279,-11.3402,-9.70192e-10
0.027978,-11446,-8.62085e-10
0.028028,-11.5478,-8.9216e-10
0.0280781,-11.6455,-7.84404e-10
0.0281281,-11739,-8.14806e-10
0.0281782,-11.8283,-7.07355e-10
0.0282282,-11.9135,-7.38041e-10
0.0282783,-11.9944,-6.30854e-10
0.0283283,-12071,-6.61785e-10
0.0283784,-12.1433,-5.54825e-10
0.0284284,-12.2113,-5.85967e-10
0.0284785,-12275,-4.79201e-10
0.0285285,-12.3343,-5.10521e-10
0.0285786,-12.3892,-4.03918e-10
0.0286286,-12.4396,-4.35387e-10
0.0286787,-12.4857,-3.28919e-10
0.0287287,-12.5273,-3.60509e-10
0.0287788,-12.5645,-2.5415e-10
0.0288288,-12.5971,-2.85835e-10
0.0288789,-12.6253,-1.79559e-10
0.0289289,-12649,-2.11316e-10
0.028979,-12.6682,"-1,051E-07"
0.029029,-12.6829,-1.36904e-10
0.0290791,-12.6931,-3.07248e-11
0.0291291,-12.6987,-6.25542e-11
0.0291792,-12.6999,4.36111e-11
0.0292292,-12.6965,1.1779e-11
0.0292793,-12.6886,1.17953e-10
0.0293293,-12.6761,8.61402e-11
0.0293794,-12.6592,1.92344e-10
0.0294294,-12.6377,1.60574e-10
0.0294795,-12.6118,2.66832e-10
0.0295295,-12.5814,2.35128e-10
0.0295796,-12.5464,3.41463e-10
0.0296296,-12.5071,3.09848e-10
0.0296797,-12.4632,4.16285e-10
0.0297297,-12415,3.84785e-10
0.0297798,-12.3623,4.9135e-10
0.0298298,-12.3052,4.59991e-10
0.0298799,-12.2437,5.66712e-10
0.0299299,-12.1779,5.35525e-10
0.02998,-12.1077,6.42432e-10
0.03003,-12.0332,6.11446e-10
0.0300801,-11.9545,7.18572e-10
0.0301301,-11.8714,6.87822e-10
0.0301802,-11.7842,7.95202e-10
0.0302302,-11.6928,7.64727e-10
0.0302803,-11.5971,8.72401e-10
0.0303303,-11.4974,8.42242e-10
0.0303804,-11.3936,9.50255e-10
0.0304304,-11.2857,9.20458e-10
0.0304805,-11.1738,1.02886e-09
0.0305305,-11.0579,9.99477e-10
0.0305806,-10.9381,1.10832e-09
0.0306306,-10.8144,1.07941e-09
0.0306807,-10.6869,1.18876e-09
0.0307307,-10.5555,1.1604e-09
0.0307808,-10.4204,1.27033e-09
0.0308308,-10.2816,1.24258e-09
0.0308809,-10.1391,1.35317e-09
0.0309309,-9.99297,1.32613e-09
0.030981,-9.84331,1.43747e-09
0.031031,-9.69015,1.41124e-09
0.0310811,-9.53354,1.52344e-09
0.0311311,-9.37353,1.49813e-09
0.0311812,-9.21019,1.61133e-09
0.0312312,-9.04357,1.58708e-09
0.0312813,-8.87373,1.70142e-09
0.0313313,-8.70073,1.6784e-09
0.0313814,-8.52464,1.79405e-09
0.0314314,-8.34551,1.77243e-09
0.0314815,-8.1634,1.8896e-09
0.0315315,-7.97839,1.86963e-09
0.0315816,-7.79054,1.98856e-09
0.0316316,-7.59992,1.97049e-09
0.0316817,-7.40659,2.09149e-09
0.0317317,-7.21063,2.07565e-09
0.0317818,-7.0121,2.19907e-09
0.0318318,-6.81107,2.18587e-09
0.0318819,-6.60762,2.31216e-09
0.0319319,-6.40181,2.30208e-09
0.031982,-6.19373,2.43177e-09
0.032032,-5.98344,2.42543e-09
0.0320821,-5.77102,2.55923e-09
0.0321321,-5.55654,2.55741e-09
0.0321822,-5.34009,2.69619e-09
0.0322322,-5.12174,2.69988e-09
0.0322823,-4.90156,2.84478e-09
0.0323323,-4.67964,2.85529e-09
0.0323824,-4.45605,3.00784e-09
0.0324324,-4.23088,3.02693e-09
0.0324825,-4.00419,3.18916e-09
0.0325325,-3.77609,3.21925e-09
0.0325826,-3.54664,3.39404e-09
0.0326326,-3.31593,3.43854e-09
0.0326827,-3.08403,3.63e-09
0.0327327,-2.85104,3.69397e-09
0.0327828,-2.61703,3.90833e-09
0.0328328,-2.3821,3.99953e-09
0.0328829,-2.14631,4.24668e-09
0.0329329,-1.90976,4.37791e-09
0.032983,-1.67253,4.67473e-09
0.033033,-1.4347,4.86881e-09
0.0330831,-1.19637,5.2471e-09
0.0331331,-0.957606,5.54993e-09
0.0331832,-0.718503,6.01134e-09
0.0332332,-0.479144,6.6678e-09
0.0332833,-0.239615,7.40673e-09
0.0333333,-2.87809e-14,8.65783e-09
0.0333834,0.239615,1.25442e-08
0.0334334,0.479144,2.01608e-05
0.0334835,0.718503,0.0418808
0.0335335,0.957606,0.236257
0.0335836,1.19637,0.457912
0.0336336,1.4347,0.685806
0.0336837,1.67253,0.916145
0.0337337,1.90976,1.14755
0.0337838,2.14631,1.37935
0.0338338,2.3821,1.61112
0.0338839,2.61703,1.84259
0.0339339,2.85104,2.07354
0.033984,3.08403,2.30381
0.034034,3.31593,2.53325
0.0340841,3.54664,2.76173
0.0341341,3.77609,2.98913
0.0341842,4.00419,3.21535
0.0342342,4.23088,3.44028
0.0342843,4.45605,3.66383
0.0343343,4.67964,3.8859
0.0343844,4.90156,4.10639
0.0344344,5.12174,4.32523
0.0344845,5.34009,4.54232
0.0345345,5.55654,4.75757
0.0345846,5.77102,4.97091
0.0346346,5.98344,5.18225
0.0346847,6.19373,5.39152
0.0347347,6.40181,5.59863
0.0347848,6.60762,5.80351
0.0348348,6.81107,6.00607
0.0348849,7.0121,6.20625
0.0349349,7.21063,6.40398
0.034985,7.40659,6.59916
0.035035,7.59992,6.79175
0.0350851,7.79054,6.98166
0.0351351,7.97839,7.16882
0.0351852,8.1634,7.35318
0.0352352,8.34551,7.53465
0.0352853,8.52464,7.71317
