time,r TA_C2.Vt,r TC_C2.Vt
0.0249416,0.279731,9.59261
0.0249917,0.0399648,9.56596
0.0250417,-0.199816,9.53938
0.0250918,-0.439525,9.51287
0.0251419,-0.679078,9.48644
0.025192,-0.918389,9.46008
0.0252421,-1.15737,9.4338
0.0252922,-1.39594,9.40759
0.0253422,-1.63402,9.38145
0.0253923,-1.87151,9.35538
0.0254424,-2.10833,9.32939
0.0254925,-2.3444,9.30346
0.0255426,-2.57964,9.27761
0.0255927,-2.81395,9.25183
0.0256427,-3.04727,9.22613
0.0256928,-3.2795,9.20049
0.0257429,-3.51055,9.17493
0.025793,-3.74036,9.14944
0.0258431,-3.96883,9.12401
0.0258932,-4.19589,9.09866
0.0259432,-4.42145,9.07338
0.0259933,-4.64544,9.04817
0.0260434,-4.86777,9.02303
0.0260935,-5.08837,8.99796
0.0261436,-5.30715,8.97296
0.0261937,-5.52404,8.94803
0.0262437,-5.73896,8.92316
0.0262938,-5.95183,8.89837
0.0263439,-6.16258,8.87365
0.026394,-6.37114,8.84899
0.0264441,-6.57742,8.8244
0.0264942,-6.78136,8.79988
0.0265442,-6.98289,8.77543
0.0265943,-7.18192,8.75105
0.0266444,-7.37839,8.72673
0.0266945,-7.57223,8.70249
0.0267446,-7.76338,8.67831
0.0267947,-7.95175,8.65419
0.0268447,-8.13729,8.63015
0.0268948,-8.31993,8.60617
0.0269449,-8.49961,8.58225
0.026995,-8.67625,8.55841
0.0270451,-8.8498,8.53463
0.0270952,-9.0202,8.51091
0.0271452,-9.18738,8.48731
0.0271953,-9.35129,8.49366
0.0272454,-9.51186,8.64495
0.0272955,-9.66904,8.80254
0.0273456,-9.82278,8.95672
0.0273957,-9.97301,9.1074
0.0274457,-10.1197,9.25455
0.0274958,-10.2628,9.39811
0.0275459,-10.4022,9.53804
0.027596,-10.5379,9.67427
0.0276461,-10.6698,9.80676
0.0276962,-10798,9.93548
0.0277462,-10.9223,10.0604
0.0277963,-11.0427,10.1814
0.0278464,-11.1591,10.2985
0.0278965,-11.2716,10.4116
0.0279466,-11.3801,10.5208
0.0279967,-11.4845,10.6259
0.0280467,-11.5848,10727
0.0280968,-11681,10824
0.0281469,-11773,10.9168
0.028197,-11.8608,11.0055
0.0282471,-11.9444,11.09
0.0282972,-12.0238,11.1702
0.0283472,-12.0988,11.2463
0.0283973,-12.1696,11318
0.0284474,-12236,11.3855
0.0284975,-12298,11.4487
0.0285476,-12.3557,11.5075
0.0285977,-12.4089,11562
0.0286477,-12.4578,11.6122
0.0286978,-12.5021,11658
0.0287479,-12.5421,11.6994
0.028798,-12.5775,11.7364
0.0288481,-12.6085,11.7691
0.0288982,-12635,11.7974
0.0289482,-12657,11.8213
0.0289983,-12.6744,11.8409
0.0290484,-12.6874,11.8562
0.0290985,-12.6958,11.8671
0.0291486,-12.6997,11.8738
0.0291987,-12.6991,11.8762
0.0292487,-12.6939,11.8745
0.0292988,-12.6842,11.8686
0.0293489,-12.67,11.8588
0.029399,-12.6513,11.8452
0.0294491,-12.6281,11.8279
0.0294992,-12.6004,11.8072
0.0295492,-12.5681,11.7835
0.0295993,-12.5314,11757
0.0296494,-12.4903,11.7285
0.0296995,-12.4446,11.6983
0.0297496,-12.3946,11667
0.0297997,-12.3401,11.6352
0.0298497,-12.2812,11603
0.0298998,-12218,11.5709
0.0299499,-12.1504,11.5388
0.03,-12.0784,11.5067
